日期,時間,機種,機號,商品條碼1,商品條碼2,商品條碼3,狀態,原因
2021/12/23,上午 10:05:57,CU-LJ22BHA2,0DN1110243,9SS064XCB21F0108910,20210311|C4309-1830+C1|NFD-52FV-D836-1|01359,C4730-9513_20211109_CO00525,OK,照合OK
2021/12/23,下午 03:28:18,CU-LJ22BHA2,0DN1110243,9SS064XCB21F0108910,20210311|C4309-1830+C1|NFD-52FV-D836-1|01359,C4730-9513_20211109_CO00525,OK,照合OK
