日期,時間,機種,機號,商品條碼,狀態,原因
2021/12/29,上午 11:25:23,F-YCM33H,95X1120215,FG:PC2111000467000:21107754:P788012023J:NFD-70CW-D8130-1(T):P06-T06440:C9197:11-11-2021:50:0:MK11AC:11-11-2021:21:06:58:21:06:58:J2111E9722,NG,三聯單及商品條碼照合錯誤
2021/12/29,上午 11:25:52,F-YCM33H,95X1120215,FG:PC2111000467000:21107754:P788012023J:NFD-70CW-D8130-1(T):P06-T06440:C9197:11-11-2021:50:0:MK11AC:11-11-2021:21:06:58:21:06:58:J2111E9722,NG,三聯單及商品條碼照合錯誤
